FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
FISHING,FISH FROZEN,,POLLOCK (F),0.9,0.9,0.9,0.9,TYPOLOGY,,,,,
FISHING,FISH FROZEN,,POLLOCK STICK (F),2.14,2.14,2.14,2.14,TYPOLOGY,,,,,
CROPS,FRUIT IMPORTED,,POMEGRANATE (I),1.17,1.17,1.17,1.17,TYPOLOGY,,,,,
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),POMELO,0.51,0.51,0.51,0.51,TYPOLOGY,,,,,
FISHING,FISH,,POMFRET,6.63,6.63,3.49,9.77,TYPOLOGY,,,,,
FISHING,FISH,,PORBEAGLE,11.44,11.44,11.44,11.44,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,PORK BONE FREE MEAT*,,PORK BONE FREE MEAT*,5.79,5.72,2.11,11.86,ITEM,6820,6299,4083,12271,item matching typology
ANIMAL HUSBANDRY,PORK CURED MEAT,,PORK HAM,7.93,7.95,3,12.84,ITEM,9850,9850,9100,10600,
ANIMAL HUSBANDRY,PORK MEAT WITH BONE*,,PORK MEAT WITH BONE*,3.5,3.44,1.3,7.06,ITEM,5798,5798,5798,5798,
ANIMAL HUSBANDRY,PORK CURED MEAT,,PORK SAUSAGES,17.94,17.94,17.94,17.94,TYPOLOGY,15600,15600,15600,15600,
CROPS,STARCHY TUBERS,,POTATO,0.25,0.24,0.08,0.45,ITEM,555,555,287,823,typology
FISHING,SHELLFISH,CRUSTACEAN* (SUBTYP) (Prawns/Shrimps),PRAWNS/SHRIMPS,11.95,7.04,2.89,38,ITEM,1705,1738,1448,2063,
FISHING,SHELLFISH FROZEN,,PRAWNS/SHRIMPS (F),17.73,15.07,5.81,35,ITEM,1705,1738,1448,2063,
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",PUMPKIN,0.38,0.24,0.09,1.31,ITEM,479,400,336,700,typology
CROPS,GRAINS,,QUINOA,0.96,0.97,0.53,1.2,ITEM,,,,,
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,,QUORNE,2.5,2.5,2.4,2.6,TYPOLOGY,2000,2000,2000,2000,typology
ANIMAL HUSBANDRY,RABBIT MEAT WITH BONE*,,RABBIT MEAT WITH BONE*,4.31,4.31,3.03,5.58,ITEM matching with TYPOLOGY,,,,,
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUBTYP),RADISH,0.15,0.15,0.15,0.15,TYPOLOGY,,,,,
CROPS,DRIED FRUIT,,RAISIN,0.66,0.81,0.36,0.84,ITEM,2433,2433,2433,2433,
CROPS,SEEDS,,RAPE SEED,1.05,0.78,0.29,2.09,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,OIL,,RAPESEED OIL,2.4,1.79,0.4,4.3,ITEM,4301,4301,4301,4301,ok item
AGRICULTURAL PROCESSED,FRUIT FROZEN* (raspberry),,RASPBERRIES (F)*,1.18,1.18,1.18,1.18,ITEM matching with TYPOLOGY,413,413,413,413,
CROPS,FRUIT OPENFIELD,WILD BERRIES (SUBTYP),RASPBERRY,0.63,0.63,0.42,0.84,TYPOLOGY,413,413,413,413,ok item
FISHING,FISH,,RHOMBUS,8.41,8.41,8.41,8.41,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,VEGETAL MILK,,RICE MILK,0.8,0.66,0.64,1.09,TYPOLOGY,,,,,
CROPS,RICE*,,RICE*,2.54,2.19,0.24,6.45,ITEM,1651,1597,638,2672,
ANIMAL HUSBANDRY,CHEESE FRESH,,RICOTTA,3.4,3.4,3.4,3.4,TYPOLOGY,2590,2471,1628,3659,ok item
FISHING,FISH,,ROCK FISH,6.94,6.94,6.94,6.94,TYPOLOGY,,,,,
